PNO,SID,SIZE,NAPC,NAPU,ACEC,ACEU,ACYC,ACYU,FLUC,FLUU,PHEC,PHEU,ANTC,ANTU,FLTC,FLTU,PYRC,PYRU,BAAC,BAAU,CHRC,CHRU,BBFC,BBFU,BKFC,BKFU,BAPC,BAPU,DBAC,DBAU,ICPC,ICPU,BGHIPC,BGHIPU
BB,BB,FINE,0.012700000000000001,0.0033000000000000004,0.0096,0.008199999999999999,0.0,0.0,0.0045000000000000005,0.010900000000000002,0.0504,0.0908,0.002,0.0033000000000000004,0.0836,0.023700000000000002,0.0816,0.023799999999999998,0.2205,0.0332,0.0797,0.0046,0.0426,0.0493,0.053899999999999997,0.011000000000000001,0.07400000000000001,0.0096,0.038900000000000004,0.0393,0.1998,0.0383,0.0464,0.0106
HB,Hbio,FINE,0.010700000000000001,0.005600000000000001,0.0095,0.0048,0.0004,0.0012,0.0067,0.0085,0.0728,0.0323,0.005,0.005,0.1291,0.042,0.1079,0.0361,0.1354,0.0213,0.0609,0.0086,0.1027,0.0298,0.0599,0.0118,0.058499999999999996,0.013700000000000002,0.0361,0.020499999999999997,0.1467,0.0376,0.057800000000000004,0.013000000000000001
HC,Hcoal,FINE,0.0049,0.15,0.0059,0.15,0.0,0.15,0.0,0.15,0.0406,0.15,0.004,0.15,0.18989999999999999,0.15,0.1711,0.15,0.10779999999999999,0.15,0.0425,0.15,0.0861,0.15,0.0504,0.15,0.0663,0.15,0.0346,0.15,0.1266,0.15,0.0692,0.15
CB,CPP,FINE,0.0676,0.0405,0.0125,0.025,0.0,0.0,0.0,0.0,0.19280000000000003,0.0958,0.0,0.0,0.16210000000000002,0.0422,0.1165,0.0339,0.19710000000000003,0.20120000000000002,0.0,0.0,0.0776,0.1164,0.1274,0.0611,0.0128,0.0256,0.004,0.0079,0.0,0.0,0.029500000000000002,0.0591
